Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,0.1u,
"C3, C4",0805,2,1u,
C5,0805,1,4.7u,
C6,0805,1,10u,
C7,0805,1,22u,
C8,0805,1,0.1uF,
D1,0603,1,SCK,
D2,0603,1,power,
J1,JST_ZH_S5B-ZR-SM4A-TF_1x05-1MP_P1.50mm_Horizontal,1,FSR_socket,
J2,JST_ZH_B5B-ZR_1x05_P1.50mm_Vertical,1,write,
J3,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,1,boot,
J4,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,power_socket,
J5,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,1,can_socket,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Term,
"R1, R2, R3, R4, R5, R6, R7",0603,7,1k,
"R10, R11, R12, R9",0603,4,R,
R8,0603,1,120,
SW1,TVAF06-A020B-R,1,SW_Push,
U1,TQFP-32_7x7mm,1,ATMEGA328P-AU,ATMEGA328P-AU
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E-SN,
"U5, U6",SOIC-8_W3.9mm,2,LMV358IDR,LMV358IDR
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,16MHz,
Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,8MHz,
