Designator,Mid X,Mid Y,Rotation,Layer
C1,158.75,-90.17,90.0,bottom
C2,151.13,-85.09,270.0,bottom
C3,155.575,-91.12,90.0,bottom
C4,157.48,-93.98,0.0,bottom
C5,164.465,-92.71,0.0,top
C6,162.56,-99.06,180.0,bottom
C7,166.37,-99.06,180.0,bottom
C8,141.732,-104.775,180.0,top
D1,167.005,-96.52,90.0,top
D2,166.37,-102.87,0.0,top
J1,154.94,-106.535,0.0,bottom
J2,144.955,-86.995,0.0,top
J3,153.73,-82.296,0.0,top
J4,160.02,-101.33,0.0,top
J5,149.385,-106.535,0.0,top
R1,145.605,-104.775,180.0,bottom
R10,149.225,-98.425,270.0,bottom
R11,143.955,-93.98,0.0,bottom
R12,141.605,-98.615,270.0,bottom
R2,147.955,-104.14,90.0,bottom
R3,151.13,-91.44,0.0,bottom
R4,151.13,-89.535,0.0,bottom
R5,164.465,-94.615,180.0,top
R6,154.305,-85.725,0.0,top
R7,168.91,-100.965,90.0,top
R8,151.575,-101.6,0.0,top
R9,151.575,-93.98,0.0,bottom
SW1,162.245,-84.582,180.0,top
U1,157.48,-91.685,270.0,top
U2,165.1,-93.345,270.0,bottom
U3,144.41,-93.6675,0.0,top
U4,144.08,-100.33,270.0,top
U5,153.035,-98.425,90.0,bottom
U6,145.415,-98.425,90.0,bottom
Y1,149.86,-92.005,90.0,top
Y2,149.93,-97.155,0.0,top
