Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,
C10,CP_Elec_6.3x5.9,1,100u,
C11,CP_Elec_5x5.8,1,10u,
C12,CP_Elec_6.3x5.9,1,22u,
"C13, C18",0805,2,10u,
"C14, C16, C19, C2, C21, C3, C4, C5, C6, C9",0805,10,0.1u,
"C15, C20",0805,2,33u,
"C17, C22",0805,2,47u,
C7,CP_Elec_10x12.6,1,470u,
C8,0805,1,0.33u,
D1,0603,1,LED_motor,
D2,0603,1,LED_logic,
J1,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,1,write_socket,
"J10, J11",JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,2,12Vout,
J12,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Batt_socket,
J13,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,SW_strong,
J14,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,LED_strong,
J15,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,LED_logic,
J16,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,SW_logic,
"J2, J3, J4, J5",JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical,4,ICS_socket,
"J6, J7",JST_ZH_B3B-ZR_1x03_P1.50mm_Vertical,2,7V4,
"J8, J9",JST_ZH_B2B-ZR_1x02_P1.50mm_Vertical,2,can_socket,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Term,
L1,CM2021Y330R,1,CM2021Y330R,
"L2, L3",L_Bourns-SRN8040_8x8.15mm,2,4.7u,
"Q1, Q10, Q2, Q5, Q8, Q9",SOT-23,6,2N7002K,
"Q3, Q4",SOT-23,2,2SC2712,
"Q6, Q7",TO-252-2,2,TJ60S04M3L,
"R1, R10, R16, R20, R27, R29, R9",0603,7,10k,
"R11, R12, R6",0603,3,350,
"R13, R15, R17, R21, R4, R7",0603,6,120,
"R14, R19, R22, R23, R24, R25, R30, R31, R5, R8",0603,10,1k,
"R18, R2, R3",0603,3,2k,
"R26, R28",0603,2,30.9k,
SW1,SW_SPST_B3S-1000,1,RESET,
SW2,SW_SPST_B3S-1000,1,BOOT,
U1,BNO055_module,1,BNO055_module,
"U10, U11",SOT-583-8,2,TPS62933,
U2,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
"U3, U4, U5",SOIC-6-5_W4.55mm,3,TLP2361_TPL_E,"TLP2361(TPL,E"
U6,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC2G241,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2561-E-SN,
U8,SOT-89-3,1,L78L05_SOT89,
U9,SOT-223-3_TabPin2,1,AMS1117-5.0,
