Designator,Mid X,Mid Y,Rotation,Layer
C1,160.655,-141.605,180.0,bottom
C10,123.825,-153.035,0.0,bottom
C11,129.54,-143.805,270.0,bottom
C12,144.78,-143.25,90.0,bottom
C13,118.5139,-144.8189,270.0,top
C14,115.9739,-144.8189,270.0,top
C15,123.5939,-142.2789,270.0,top
C16,122.3239,-146.7239,0.0,top
C17,128.6739,-138.4689,90.0,top
C18,133.35,-156.845,270.0,top
C19,130.81,-156.845,270.0,top
C2,152.4,-144.78,270.0,bottom
C20,138.43,-154.305,270.0,top
C21,136.525,-158.75,0.0,top
C22,143.51,-150.495,90.0,top
C3,160.655,-139.065,180.0,bottom
C4,144.78,-137.16,0.0,top
C5,172.405,-139.065,180.0,top
C6,151.13,-159.385,180.0,bottom
C7,135.795,-154.94,0.0,bottom
C8,167.64,-156.845,180.0,bottom
C9,172.085,-158.115,270.0,bottom
D1,146.685,-168.415,90.0,top
D2,107.95,-150.495,90.0,top
J1,142.935,-132.715,0.0,top
J10,100.985,-142.24,0.0,top
J11,100.985,-151.13,0.0,top
J12,137.204,-166.624,180.0,top
J13,113.675,-161.2175,270.0,top
J14,105.575,-160.675,90.0,top
J15,133.515,-135.91,90.0,top
J16,113.675,-151.7325,270.0,top
J2,152.17,-168.91,0.0,top
J3,120.42,-168.91,0.0,top
J4,162.56,-168.91,0.0,top
J5,110.26,-168.91,0.0,top
J6,99.06,-160.25,270.0,top
J7,173.99,-160.528,90.0,top
J8,160.655,-163.31,270.0,top
J9,165.735,-163.31,270.0,top
L1,125.73,-162.56,90.0,top
L2,129.3089,-144.8189,0.0,top
L3,144.145,-156.845,0.0,top
Q1,174.305,-146.3525,90.0,bottom
Q10,151.4325,-150.18,0.0,bottom
Q2,154.94,-156.525,0.0,bottom
Q3,154.305,-141.605,180.0,bottom
Q4,165.735,-142.875,0.0,bottom
Q5,163.83,-151.765,270.0,bottom
Q6,124.875,-161.67,180.0,bottom
Q7,124.42,-153.41,0.0,top
Q8,147.32,-166.0675,90.0,bottom
Q9,146.36,-159.7475,90.0,bottom
R1,152.4,-139.255,270.0,bottom
R10,158.115,-143.51,180.0,bottom
R11,155.575,-159.385,180.0,bottom
R12,163.7,-148.8925,0.0,bottom
R13,164.465,-154.6075,0.0,bottom
R14,161.29,-154.6075,0.0,bottom
R15,167.195,-159.385,180.0,top
R16,121.92,-166.37,180.0,bottom
R17,117.92,-166.37,180.0,bottom
R18,146.685,-165.38,270.0,top
R19,107.95,-147.32,270.0,top
R2,114.3,-138.43,0.0,bottom
R20,120.65,-161.29,0.0,top
R21,120.65,-159.385,0.0,top
R22,147.13,-163.195,180.0,bottom
R23,148.145,-168.91,0.0,bottom
R24,146.36,-156.905,180.0,bottom
R25,143.32,-158.115,180.0,bottom
R26,124.2289,-139.7389,180.0,top
R27,121.6889,-140.3739,90.0,top
R28,139.255,-151.765,180.0,top
R29,136.525,-152.4,90.0,top
R3,117.475,-138.43,180.0,bottom
R30,147.955,-150.495,90.0,bottom
R31,152.21,-147.32,0.0,bottom
R4,171.45,-144.78,90.0,bottom
R5,173.99,-143.51,180.0,bottom
R6,170.815,-148.4,270.0,bottom
R7,151.765,-154.94,270.0,bottom
R8,151.13,-157.48,0.0,bottom
R9,164.465,-139.51,90.0,bottom
SW1,145.07,-143.345,0.0,top
SW2,172.375,-145.58,180.0,top
U1,114.935,-136.525,90.0,top
U10,121.1589,-143.6639,0.0,top
U11,135.785,-155.69,0.0,top
U2,158.85,-147.15,0.0,top
U3,173.99,-152.4,90.0,bottom
U4,157.505,-151.13,180.0,bottom
U5,161.315,-158.115,0.0,bottom
U6,168.275,-159.385,180.0,bottom
U7,153.67,-163.195,90.0,bottom
U8,168.91,-152.4,270.0,bottom
U9,136.525,-143.485,270.0,bottom
